clumps,CAPAD,soil,elev,rain,tmax,rainVar,NarClimffdigt50,NarClimfRain,NarClimfTmax,tmax_future,rain_future,ProfileID,SciName,Taxa,CommonName,SiteID,SiteName,Restricted
1,Wollemi National Park,Rudosol,109.05440194661267,1036.3195285798417,20.60770123887074,0.6980263362715629,0.7693212870971922,11.127101765030284,1.9258442565992497,22.533545495469987,1151.6318571358029,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,395.0592722011968,1202.1631705161608,20.161362585596294,0.6918632193246019,0.626754101746197,10.451137949323773,1.936028671261295,22.097391256857588,1327.8029018427692,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,483.62331859941514,1205.8408870788596,20.194587746341156,0.6937751762543899,0.651976541880477,10.728385588377565,1.93264978278079,22.127237529121945,1335.2081470269923,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,494.2097436956343,1210.3616218539883,20.23056577440768,0.6948293550796597,0.6724666566929549,10.920700526300834,1.9304061507570978,22.160971925164777,1342.54158986194,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,495.27750102138236,1223.782254792076,20.247133169360975,0.6958675475126113,0.6928799726702028,11.117054399250618,1.928138057329627,22.1752712266906,1359.8307937856869,10023,Acacia pubescens,Shrubs,Downy Wattle,851,Mountain Lagoon,No
3,Wollemi National Park,Rudosol,300.8190906470984,1074.5894291558018,20.04552152204867,0.7020056272246931,0.77580781463342,11.231793953797503,1.923091101659921,21.96861262370859,1195.2850996878701,NA,NA,NA,NA,NA,NA,NA
4,Wollemi National Park,Rudosol,465.1596231861408,1224.5673818046864,19.9012396051167,0.6899131654499511,0.5701266728924493,10.105827556465727,1.9402687090179402,21.84150831413464,1348.3200497225953,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,502.7909656865477,1196.491417623966,20.14034471956572,0.693559348423152,0.636125523609073,10.625896705843468,1.933728551646392,22.074073271212114,1323.629359754971,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,506.45487031292345,1191.2240644068713,20.182698181090686,0.6946851905385739,0.6569603466313118,10.800040764817206,1.9315950987695218,22.114293279860206,1319.8767489631257,NA,NA,NA,NA,NA,NA,NA
2,Wollemi National Park,Rudosol,481.747828397407,1196.2112408892262,20.213338077425078,0.6957934563501591,0.6777107328648229,10.978625432094425,1.929434751826016,22.142772829251093,1327.538792403063,NA,NA,NA,NA,NA,NA,NA
